Территория,Значение (январь-март 2017г),к АППГ (январь-март 2016г)/отклонение,к АППГ (январь-март 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Республика Алтай,"64,40","9,60","117,5%","0,80","-1,40",5,38
Республика Тыва,"61,70","5,40","109,6%","-1,90","-4,10",8,58
Республика Хакасия,"60,10","7,00","113,2%","-3,50","-5,70",9,63
Таймырский автономный округ,,,,,,,
Томская область,"66,90","-1,00","98,5%","3,30","1,10",2,24
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"63,50","0,80","101,3%",,"-2,30",,7
Курганская область,"54,60","1,20","102,2%","-8,90","-11,20",7,79
Свердловская область,"66,20","1,60","102,5%","2,70","0,40",1,30
Тюменская область,"63,10","-1,80","97,2%","-0,40","-2,70",3,48
Тюменская область без авт. округов,"62,90","-3,70","94,4%","-0,60","-2,90",4,50
Ханты-Мансийский автономный округ,"64,10","-1,60","97,6%","0,60","-1,70",2,40
Челябинская область,"61,90","3,50","106,0%","-1,60","-3,90",5,56
Ямало-Ненецкий автономный округ,"60,70","1,40","102,4%","-2,80","-5,10",6,60
Центральный федеральный округ,"66,60","-0,10","99,9%",,"0,80",,3
Белгородская область,"69,40","3,60","105,5%","2,80","3,60",4,14
Брянская область,"60,70","5,70","110,4%","-5,90","-5,10",14,60
Владимирская область,"60,70","1,90","103,2%","-5,90","-5,10",14,60
Воронежская область,"72,90","0,60","100,8%","6,30","7,10",1,7
г. Москва,"67,40","-1,90","97,3%","0,80","1,60",6,21
Ивановская область,"57,90","2,00","103,6%","-8,70","-7,90",16,71
Калужская область,"62,20","0,50","100,8%","-4,40","-3,60",13,54
Костромская область,"57,90","-3,60","94,1%","-8,70","-7,90",16,71
Курская область,"64,70","-2,80","95,9%","-1,90","-1,10",10,36
Липецкая область,"67,00","-3,10","95,6%","0,40","1,20",7,23
Московская область,"70,60","-0,60","99,2%","4,00","4,80",2,10
Орловская область,"67,50","2,80","104,3%","0,90","1,70",5,20
Рязанская область,"69,50","3,20","104,8%","2,90","3,70",3,12
Смоленская область,"64,40","2,00","103,2%","-2,20","-1,40",11,38
Тамбовская область,"65,50","-6,10","91,5%","-1,10","-0,30",8,31
Тверская область,"50,50","-2,70","94,9%","-16,10","-15,30",18,83
Тульская область,"65,40","5,80","109,7%","-1,20","-0,40",9,32
Ярославская область,"62,30","4,80","108,3%","-4,30","-3,50",12,53
Южный федеральный округ,"63,80","-1,00","98,5%",,"-2,00",,5
Астраханская область,"51,70","-3,70","93,3%","-12,10","-14,10",8,82
Волгоградская область,"62,50","3,00","105,0%","-1,30","-3,30",5,52
г. Севастополь,"55,10","2,40","104,6%","-8,70","-10,70",7,77
Краснодарский край,"64,80","-1,10","98,3%","1,00","-1,00",4,35
Республика Адыгея (Адыгея),"73,00","10,70","117,2%","9,20","7,20",2,5
Республика Калмыкия,"73,20","12,50","120,6%","9,40","7,40",1,4
Республика Крым,"55,80","1,80","103,3%","-8,00","-10,00",6,76
Ростовская область,"67,90","-0,50","99,3%","4,10","2,10",3,19
