Территория,Значение (январь-август 2018г),к АППГ (январь-август 2017г)/отклонение,к АППГ (январь-август 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Республика Дагестан,"33 143,00","-3 460,00","90,5%","6 542,00","1 299,00",1,17
Республика Ингушетия,"16 779,00","576,00","103,6%","-9 822,00","-15 065,00",7,85
Республика Северная Осетия-Алания,"23 583,00","704,00","103,1%","-3 018,00","-8 261,00",4,61
Ставропольский край,"24 439,00","549,00","102,3%","-2 162,00","-7 405,00",3,53
Чеченская республика,"26 901,00","1 895,00","107,6%","300,00","-4 943,00",2,40
Сибирский федеральный округ,"23 052,00","-70,00","99,7%",,"-8 792,00",,8
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"22 292,00","136,00","100,6%","-760,00","-9 552,00",5,70
Иркутская область,"20 579,00","281,00","101,4%","-2 473,00","-11 265,00",8,78
Кемеровская область,"20 871,00","-774,00","96,4%","-2 181,00","-10 973,00",7,75
Красноярский край,"26 306,00","280,00","101,1%","3 254,00","-5 538,00",1,45
Новосибирская область,"23 707,00","-1 379,00","94,5%","655,00","-8 137,00",3,60
Омская область,"25 633,00","661,00","102,6%","2 581,00","-6 211,00",2,49
Республика Алтай,"20 312,00","1 022,00","105,3%","-2 740,00","-11 532,00",9,79
Республика Тыва,"12 258,00","-357,00","97,2%","-10 794,00","-19 586,00",10,87
Республика Хакасия,"20 928,00","966,00","104,8%","-2 124,00","-10 916,00",6,74
Таймырский автономный округ,,,,,,,
Томская область,"22 817,00","633,00","102,9%","-235,00","-9 027,00",4,67
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"31 741,00","633,00","102,0%",,"-103,00",,3
Курганская область,"20 218,00","-1 001,00","95,3%","-11 523,00","-11 626,00",7,80
Свердловская область,"35 650,00","855,00","102,5%","3 909,00","3 806,00",4,16
Тюменская область,"37 617,00","958,00","102,6%","5 876,00","5 773,00",3,14
Тюменская область без авт. округов,"27 633,00","-35,00","99,9%","-4 108,00","-4 211,00",5,34
Ханты-Мансийский автономный округ,"39 513,00","800,00","102,1%","7 772,00","7 669,00",2,9
Челябинская область,"23 480,00","320,00","101,4%","-8 261,00","-8 364,00",6,63
Ямало-Ненецкий автономный округ,"59 575,00","4 436,00","108,0%","27 834,00","27 731,00",1,2
Центральный федеральный округ,"38 377,00","-533,00","98,6%",,"6 533,00",,1
Белгородская область,"30 344,00","997,00","103,4%","-8 033,00","-1 500,00",4,23
Брянская область,"28 496,00","368,00","101,3%","-9 881,00","-3 348,00",6,31
Владимирская область,"24 132,00","-689,00","97,2%","-14 245,00","-7 712,00",15,55
Воронежская область,"30 188,00","-1 650,00","94,8%","-8 189,00","-1 656,00",5,24
г. Москва,"53 568,00","-3 244,00","94,3%","15 191,00","21 724,00",1,4
Ивановская область,"23 439,00","-1 276,00","94,8%","-14 938,00","-8 405,00",17,64
Калужская область,"27 714,00","243,00","100,9%","-10 663,00","-4 130,00",7,33
Костромская область,"21 682,00","-3 195,00","87,2%","-16 695,00","-10 162,00",18,72
Курская область,"27 079,00","41,00","100,2%","-11 298,00","-4 765,00",9,38
Липецкая область,"30 612,00","982,00","103,3%","-7 765,00","-1 232,00",3,22
Московская область,"42 783,00","2 838,00","107,1%","4 406,00","10 939,00",2,7
Орловская область,"24 414,00","1 409,00","106,1%","-13 963,00","-7 430,00",14,54
Рязанская область,"24 443,00","168,00","100,7%","-13 934,00","-7 401,00",13,52
Смоленская область,"25 776,00","270,00","101,1%","-12 601,00","-6 068,00",12,47
Тамбовская область,"26 556,00","265,00","101,0%","-11 821,00","-5 288,00",10,42
Тверская область,"25 961,00","1 600,00","106,6%","-12 416,00","-5 883,00",11,46
Тульская область,"27 173,00","-726,00","97,4%","-11 204,00","-4 671,00",8,37
Ярославская область,"23 538,00","-2 658,00","89,9%","-14 839,00","-8 306,00",16,62
Южный федеральный округ,"30 520,00","476,00","101,6%",,"-1 324,00",,5
Астраханская область,"23 082,00","2 397,00","111,6%","-7 438,00","-8 762,00",6,65
Волгоградская область,"21 507,00","-21,00","99,9%","-9 013,00","-10 337,00",7,73
г. Севастополь,"28 319,00","-5 247,00","84,4%","-2 201,00","-3 525,00",4,32
Краснодарский край,"38 796,00","124,00","100,3%","8 276,00","6 952,00",1,11
Республика Адыгея (Адыгея),"30 087,00","3 277,00","112,2%","-433,00","-1 757,00",2,25
Республика Калмыкия,"16 555,00","-866,00","95,0%","-13 965,00","-15 289,00",8,86
Республика Крым,"26 344,00","2 815,00","112,0%","-4 176,00","-5 500,00",5,44
Ростовская область,"29 789,00","-13,00","100,0%","-731,00","-2 055,00",3,26
