Территория,Значение (январь-февраль 2017г),к АППГ (январь-февраль 2016г)/отклонение,к АППГ (январь-февраль 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Северо-Западный федеральный округ,"31 784,00","-873,00","97,3%",,"2 607,00",,3
Архангельская область,"32 962,00","586,00","101,8%","1 178,00","3 785,00",4,15
Архангельская область без авт. округа,"31 135,00","844,00","102,8%","-649,00","1 958,00",5,18
Вологодская область,"25 452,00","-692,00","97,4%","-6 332,00","-3 725,00",8,34
г. Санкт-Петербург,"38 274,00","-2 921,00","92,9%","6 490,00","9 097,00",2,9
Калининградская область,"23 865,00","248,00","101,1%","-7 919,00","-5 312,00",11,44
Ленинградская область,"26 845,00","847,00","103,3%","-4 939,00","-2 332,00",7,26
Мурманская область,"37 891,00","3 406,00","109,9%","6 107,00","8 714,00",3,11
Ненецкий автономный округ,"79 605,00","-6 535,00","92,4%","47 821,00","50 428,00",1,1
Новгородская область,"24 386,00","-608,00","97,6%","-7 398,00","-4 791,00",10,41
Псковская область,"21 873,00","2 245,00","111,4%","-9 911,00","-7 304,00",12,61
Республика Карелия,"24 829,00","-1 330,00","94,9%","-6 955,00","-4 348,00",9,38
Республика Коми,"30 775,00","-1 835,00","94,4%","-1 009,00","1 598,00",6,19
Северо-Кавказский федеральный округ,"20 384,00","222,00","101,1%",,"-8 793,00",,8
Кабардино-Балкарская Республика,"19 061,00","1 977,00","111,6%","-1 323,00","-10 116,00",5,77
Карачаево-Черкесская Республика,"16 093,00","162,00","101,0%","-4 291,00","-13 084,00",6,84
Республика Дагестан,"20 564,00","650,00","103,3%","180,00","-8 613,00",3,68
Республика Ингушетия,"14 801,00","1 694,00","112,9%","-5 583,00","-14 376,00",7,85
Республика Северная Осетия-Алания,"20 426,00","-820,00","96,1%","42,00","-8 751,00",4,71
Ставропольский край,"21 659,00","587,00","102,8%","1 275,00","-7 518,00",1,62
Чеченская республика,"21 569,00","-2 471,00","89,7%","1 185,00","-7 608,00",2,63
Сибирский федеральный округ,"22 373,00","227,00","101,0%",,"-6 804,00",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"18 900,00","745,00","104,1%","-3 473,00","-10 277,00",8,78
Иркутская область,"21 934,00","42,00","100,2%","-439,00","-7 243,00",5,59
Кемеровская область,"20 413,00","-729,00","96,6%","-1 960,00","-8 764,00",7,73
Красноярский край,"26 644,00","723,00","102,8%","4 271,00","-2 533,00",1,29
Новосибирская область,"24 099,00","860,00","103,7%","1 726,00","-5 078,00",2,42
Омская область,"23 933,00","112,00","100,5%","1 560,00","-5 244,00",3,43
Республика Алтай,"16 909,00","48,00","100,3%","-5 464,00","-12 268,00",9,81
Республика Тыва,"11 068,00","-1 859,00","85,6%","-11 305,00","-18 109,00",10,87
Республика Хакасия,"20 416,00","803,00","104,1%","-1 957,00","-8 761,00",6,72
Таймырский автономный округ,,,,,,,
Томская область,"22 673,00","-721,00","96,9%","300,00","-6 504,00",4,52
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"30 341,00","-405,00","98,7%",,"1 164,00",,4
Курганская область,"20 125,00","-22,00","99,9%","-10 216,00","-9 052,00",7,74
Свердловская область,"32 345,00","-322,00","99,0%","2 004,00","3 168,00",4,16
Тюменская область,"38 759,00","-85,00","99,8%","8 418,00","9 582,00",3,8
Тюменская область без авт. округов,"26 779,00","913,00","103,5%","-3 562,00","-2 398,00",5,27
Ханты-Мансийский автономный округ,"43 219,00","-473,00","98,9%","12 878,00","14 042,00",2,7
Челябинская область,"21 557,00","-1 061,00","95,3%","-8 784,00","-7 620,00",6,64
Ямало-Ненецкий автономный округ,"58 093,00","-1 331,00","97,8%","27 752,00","28 916,00",1,2
Центральный федеральный округ,"36 918,00","-3 746,00","90,8%",,"7 741,00",,1
Белгородская область,"28 073,00","1 278,00","104,8%","-8 845,00","-1 104,00",4,24
Брянская область,"24 712,00","2 029,00","108,9%","-12 206,00","-4 465,00",10,40
Владимирская область,"23 073,00","12,00","100,1%","-13 845,00","-6 104,00",13,48
Воронежская область,"28 759,00","-977,00","96,7%","-8 159,00","-418,00",3,23
г. Москва,"54 559,00","-11 143,00","83,0%","17 641,00","25 382,00",1,3
Ивановская область,"23 058,00","-572,00","97,6%","-13 860,00","-6 119,00",14,49
Калужская область,"27 483,00","448,00","101,7%","-9 435,00","-1 694,00",5,25
Костромская область,"23 669,00","1 036,00","104,6%","-13 249,00","-5 508,00",11,45
Курская область,"25 397,00","1 553,00","106,5%","-11 521,00","-3 780,00",9,35
Липецкая область,"26 754,00","83,00","100,3%","-10 164,00","-2 423,00",6,28
Московская область,"38 252,00","-1 707,00","95,7%","1 334,00","9 075,00",2,10
Орловская область,"22 080,00","1 310,00","106,3%","-14 838,00","-7 097,00",17,57
Рязанская область,"21 930,00","-1 819,00","92,3%","-14 988,00","-7 247,00",18,60
Смоленская область,"23 547,00","848,00","103,7%","-13 371,00","-5 630,00",12,46
Тамбовская область,"23 004,00","320,00","101,4%","-13 914,00","-6 173,00",15,51
Тверская область,"22 398,00","-1 531,00","93,6%","-14 520,00","-6 779,00",16,54
Тульская область,"26 242,00","721,00","102,8%","-10 676,00","-2 935,00",7,32
Ярославская область,"25 728,00","-1 672,00","93,9%","-11 190,00","-3 449,00",8,33
Южный федеральный округ,"24 793,00","-1 238,00","95,2%",,"-4 384,00",,5
Астраханская область,"20 703,00","-2 316,00","89,9%","-4 090,00","-8 474,00",4,67
Волгоградская область,"20 020,00","-826,00","96,0%","-4 773,00","-9 157,00",6,75
г. Севастополь,"20 478,00","6 995,00","151,9%","-4 315,00","-8 699,00",5,70
Краснодарский край,"30 674,00","-895,00","97,2%","5 881,00","1 497,00",1,20
Республика Адыгея (Адыгея),"21 005,00","-143,00","99,3%","-3 788,00","-8 172,00",3,65
Республика Калмыкия,"12 791,00","1 228,00","110,6%","-12 002,00","-16 386,00",8,86
Республика Крым,"19 914,00","2 206,00","112,5%","-4 879,00","-9 263,00",7,76
Ростовская область,"24 731,00","597,00","102,5%","-62,00","-4 446,00",2,39
