Территория,Значение (январь-ноябрь 2017г),к АППГ (январь-ноябрь 2016г)/отклонение,к АППГ (январь-ноябрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Тамбовская область,"27 240,00","569,00","102,1%","-12 663,00","-4 351,00",9,37
Тверская область,"25 761,00","2 136,00","109,0%","-14 142,00","-5 830,00",12,45
Тульская область,"27 350,00","874,00","103,3%","-12 553,00","-4 241,00",8,36
Ярославская область,"27 052,00","3 258,00","113,7%","-12 851,00","-4 539,00",10,39
Южный федеральный округ,"26 836,00","564,00","102,1%",,"-4 755,00",,5
Астраханская область,"22 484,00","1 405,00","106,7%","-4 352,00","-9 107,00",5,67
Волгоградская область,"21 307,00","242,00","101,1%","-5 529,00","-10 284,00",6,74
г. Севастополь,"30 009,00","11 122,00","158,9%","3 173,00","-1 582,00",2,24
Краснодарский край,"31 906,00","-869,00","97,3%","5 070,00","315,00",1,21
Республика Адыгея (Адыгея),"25 943,00","993,00","104,0%","-893,00","-5 648,00",4,44
Республика Калмыкия,"18 777,00","1 618,00","109,4%","-8 059,00","-12 814,00",8,79
Республика Крым,"19 756,00","1 267,00","106,9%","-7 080,00","-11 835,00",7,77
Ростовская область,"28 026,00","872,00","103,2%","1 190,00","-3 565,00",3,33
