Территория,Значение (январь-май 2017г),к АППГ (январь-май 2016г)/отклонение,к АППГ (январь-май 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Саратовская область,"18 635,00","-378,00","98,0%","-5 987,00","-10 575,00",11,79
Удмуртская республика,"23 701,00","1 316,00","105,9%","-921,00","-5 509,00",6,51
Ульяновская область,"21 095,00","601,00","102,9%","-3 527,00","-8 115,00",8,68
Чувашская Республика-Чувашия,"16 736,00","2 092,00","114,3%","-7 886,00","-12 474,00",14,83
Северо-Западный федеральный округ,"32 368,00","937,00","103,0%",,"3 158,00",,3
Архангельская область,"33 637,00","1 207,00","103,7%","1 269,00","4 427,00",4,16
Архангельская область без авт. округа,"32 229,00","1 281,00","104,1%","-139,00","3 019,00",5,19
Вологодская область,"24 828,00","-1 117,00","95,7%","-7 540,00","-4 382,00",10,42
г. Санкт-Петербург,"38 709,00","1 053,00","102,8%","6 341,00","9 499,00",2,13
Калининградская область,"26 350,00","3 343,00","114,5%","-6 018,00","-2 860,00",8,35
Ленинградская область,"27 968,00","1 077,00","104,0%","-4 400,00","-1 242,00",7,28
Мурманская область,"38 336,00","1 126,00","103,0%","5 968,00","9 126,00",3,14
Ненецкий автономный округ,"69 604,00","-1 040,00","98,5%","37 236,00","40 394,00",1,2
Новгородская область,"24 138,00","-64,00","99,7%","-8 230,00","-5 072,00",11,44
Псковская область,"22 378,00","1 276,00","106,0%","-9 990,00","-6 832,00",12,63
Республика Карелия,"25 358,00","915,00","103,7%","-7 010,00","-3 852,00",9,39
Республика Коми,"31 325,00","-381,00","98,8%","-1 043,00","2 115,00",6,21
Северо-Кавказский федеральный округ,"21 013,00","928,00","104,6%",,"-8 197,00",,8
Кабардино-Балкарская Республика,"19 449,00","1 130,00","106,2%","-1 564,00","-9 761,00",5,78
Карачаево-Черкесская Республика,"15 836,00","263,00","101,7%","-5 177,00","-13 374,00",6,84
Республика Дагестан,"22 500,00","716,00","103,3%","1 487,00","-6 710,00",1,60
Республика Ингушетия,"15 324,00","1 979,00","114,8%","-5 689,00","-13 886,00",7,85
Республика Северная Осетия-Алания,"20 666,00","2 397,00","113,1%","-347,00","-8 544,00",4,74
Ставропольский край,"21 817,00","910,00","104,4%","804,00","-7 393,00",2,65
Чеченская республика,"20 987,00","418,00","102,0%","-26,00","-8 223,00",3,69
Сибирский федеральный округ,"23 016,00","1 632,00","107,6%",,"-6 194,00",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"20 487,00","2 021,00","110,9%","-2 529,00","-8 723,00",8,75
Иркутская область,"22 431,00","2 111,00","110,4%","-585,00","-6 779,00",5,61
Кемеровская область,"20 878,00","1 520,00","107,9%","-2 138,00","-8 332,00",7,71
Красноярский край,"27 053,00","965,00","103,7%","4 037,00","-2 157,00",1,31
Новосибирская область,"24 097,00","1 747,00","107,8%","1 081,00","-5 113,00",3,46
Омская область,"24 560,00","2 130,00","109,5%","1 544,00","-4 650,00",2,43
Республика Алтай,"18 199,00","3 327,00","122,4%","-4 817,00","-11 011,00",9,81
Республика Тыва,"13 922,00","792,00","106,0%","-9 094,00","-15 288,00",10,87
Республика Хакасия,"22 037,00","619,00","102,9%","-979,00","-7 173,00",6,64
Таймырский автономный округ,,,,,,,
Томская область,"22 777,00","1 876,00","109,0%","-239,00","-6 433,00",4,58
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"31 512,00","356,00","101,1%",,"2 302,00",,4
Курганская область,"20 810,00","317,00","101,5%","-10 702,00","-8 400,00",7,72
Свердловская область,"33 321,00","-228,00","99,3%","1 809,00","4 111,00",4,17
Тюменская область,"41 205,00","1 436,00","103,6%","9 693,00","11 995,00",3,8
Тюменская область без авт. округов,"28 448,00","2 598,00","110,1%","-3 064,00","-762,00",5,25
Ханты-Мансийский автономный округ,"46 967,00","2 441,00","105,5%","15 455,00","17 757,00",2,6
Челябинская область,"21 757,00","-170,00","99,2%","-9 755,00","-7 453,00",6,67
Ямало-Ненецкий автономный округ,"58 683,00","-4 505,00","92,9%","27 171,00","29 473,00",1,3
Центральный федеральный округ,"37 486,00","1 435,00","104,0%",,"8 276,00",,2
Белгородская область,"28 487,00","-1 139,00","96,2%","-8 999,00","-723,00",3,24
Брянская область,"26 587,00","2 732,00","111,5%","-10 899,00","-2 623,00",8,33
Владимирская область,"24 016,00","1 704,00","107,6%","-13 470,00","-5 194,00",12,47
Воронежская область,"28 294,00","-117,00","99,6%","-9 192,00","-916,00",4,26
г. Москва,"53 700,00","1 782,00","103,4%","16 214,00","24 490,00",1,4
Ивановская область,"23 873,00","2 522,00","111,8%","-13 613,00","-5 337,00",13,48
Калужская область,"27 850,00","202,00","100,7%","-9 636,00","-1 360,00",6,29
Костромская область,"24 945,00","1 895,00","108,2%","-12 541,00","-4 265,00",11,41
Курская область,"25 689,00","296,00","101,2%","-11 797,00","-3 521,00",10,38
Липецкая область,"28 096,00","1 073,00","104,0%","-9 390,00","-1 114,00",5,27
Московская область,"41 106,00","3 016,00","107,9%","3 620,00","11 896,00",2,9
Орловская область,"22 903,00","371,00","101,6%","-14 583,00","-6 307,00",16,55
Рязанская область,"22 666,00","963,00","104,4%","-14 820,00","-6 544,00",17,59
Смоленская область,"23 693,00","1 150,00","105,1%","-13 793,00","-5 517,00",15,52
Тамбовская область,"23 855,00","-409,00","98,3%","-13 631,00","-5 355,00",14,49
Тверская область,"22 425,00","-857,00","96,3%","-15 061,00","-6 785,00",18,62
Тульская область,"27 398,00","1 421,00","105,5%","-10 088,00","-1 812,00",7,30
Ярославская область,"26 048,00","-1 749,00","93,7%","-11 438,00","-3 162,00",9,37
Южный федеральный округ,"25 214,00","-283,00","98,9%",,"-3 996,00",,5
Астраханская область,"21 760,00","-1 195,00","94,8%","-3 454,00","-7 450,00",5,66
Волгоградская область,"19 686,00","-1 249,00","94,0%","-5 528,00","-9 524,00",7,77
г. Севастополь,"23 780,00","6 835,00","140,3%","-1 434,00","-5 430,00",4,50
Краснодарский край,"29 747,00","599,00","102,1%","4 533,00","537,00",1,22
Республика Адыгея (Адыгея),"25 271,00","2 950,00","113,2%","57,00","-3 939,00",3,40
Республика Калмыкия,"14 759,00","1 557,00","111,8%","-10 455,00","-14 451,00",8,86
Республика Крым,"20 222,00","3 235,00","119,0%","-4 992,00","-8 988,00",6,76
Ростовская область,"26 472,00","1 225,00","104,9%","1 258,00","-2 738,00",2,34
