Территория,Значение (январь-сентябрь 2018г),к АППГ (январь-сентябрь 2017г)/отклонение,к АППГ (январь-сентябрь 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
г. Санкт-Петербург,"38 842,00","-425,00","98,9%","7 399,00","7 276,00",2,12
Калининградская область,"25 342,00","-829,00","96,8%","-6 101,00","-6 224,00",9,42
Ленинградская область,"26 344,00","-835,00","96,9%","-5 099,00","-5 222,00",7,38
Мурманская область,"31 587,00","-1 536,00","95,4%","144,00","21,00",3,18
Ненецкий автономный округ,"65 166,00","-1 830,00","97,3%","33 723,00","33 600,00",1,1
Новгородская область,"24 150,00","-957,00","96,2%","-7 293,00","-7 416,00",11,48
Псковская область,"21 632,00","-60,00","99,7%","-9 811,00","-9 934,00",12,68
Республика Карелия,"25 689,00","-844,00","96,8%","-5 754,00","-5 877,00",8,41
Республика Коми,"29 164,00","2 828,00","110,7%","-2 279,00","-2 402,00",6,25
Северо-Кавказский федеральный округ,"24 925,00","-1 171,00","95,5%",,"-6 641,00",,7
Кабардино-Балкарская Республика,"21 703,00","474,00","102,2%","-3 222,00","-9 863,00",4,66
Карачаево-Черкесская Республика,"16 344,00","-897,00","94,8%","-8 581,00","-15 222,00",6,83
Республика Дагестан,"33 066,00","-3 147,00","91,3%","8 141,00","1 500,00",1,16
Республика Ингушетия,"15 756,00","-411,00","97,5%","-9 169,00","-15 810,00",7,85
Республика Северная Осетия-Алания,"23 526,00","975,00","104,3%","-1 399,00","-8 040,00",2,55
Ставропольский край,"22 932,00","-176,00","99,2%","-1 993,00","-8 634,00",3,58
Чеченская республика,"19 972,00","-1 325,00","93,8%","-4 953,00","-11 594,00",5,75
Сибирский федеральный округ,"21 914,00","-1 137,00","95,1%",,"-9 652,00",,8
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"20 741,00","-1 351,00","93,9%","-1 173,00","-10 825,00",6,72
Иркутская область,"19 231,00","-1 695,00","91,9%","-2 683,00","-12 335,00",7,77
Кемеровская область,"21 056,00","-268,00","98,7%","-858,00","-10 510,00",5,70
Красноярский край,"24 483,00","-754,00","97,0%","2 569,00","-7 083,00",1,46
Новосибирская область,"23 573,00","-1 944,00","92,4%","1 659,00","-7 993,00",3,51
Омская область,"24 045,00","-1 075,00","95,7%","2 131,00","-7 521,00",2,49
Республика Алтай,"17 348,00","-1 245,00","93,3%","-4 566,00","-14 218,00",9,81
Республика Тыва,"13 193,00","-430,00","96,8%","-8 721,00","-18 373,00",10,87
Республика Хакасия,"19 143,00","-594,00","97,0%","-2 771,00","-12 423,00",8,78
Таймырский автономный округ,,,,,,,
Томская область,"22 480,00","-247,00","98,9%","566,00","-9 086,00",4,60
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"31 770,00","770,00","102,5%",,"204,00",,3
Курганская область,"19 054,00","-777,00","96,1%","-12 716,00","-12 512,00",7,79
Свердловская область,"35 021,00","878,00","102,6%","3 251,00","3 455,00",4,15
Тюменская область,"39 104,00","1 894,00","105,1%","7 334,00","7 538,00",3,11
Тюменская область без авт. округов,"28 639,00","207,00","100,7%","-3 131,00","-2 927,00",5,29
Ханты-Мансийский автономный округ,"40 727,00","1 406,00","103,6%","8 957,00","9 161,00",2,9
Челябинская область,"23 069,00","-281,00","98,8%","-8 701,00","-8 497,00",6,56
Ямало-Ненецкий автономный округ,"63 237,00","8 308,00","115,1%","31 467,00","31 671,00",1,2
Центральный федеральный округ,"39 297,00","-166,00","99,6%",,"7 731,00",,1
Белгородская область,"28 667,00","-594,00","98,0%","-10 630,00","-2 899,00",5,28
Брянская область,"28 541,00","216,00","100,8%","-10 756,00","-3 025,00",6,30
Владимирская область,"22 433,00","-1 765,00","92,7%","-16 864,00","-9 133,00",17,61
Воронежская область,"30 073,00","1 111,00","103,8%","-9 224,00","-1 493,00",3,22
г. Москва,"58 169,00","-760,00","98,7%","18 872,00","26 603,00",1,3
Ивановская область,"22 852,00","-1 293,00","94,6%","-16 445,00","-8 714,00",16,59
Калужская область,"25 870,00","-663,00","97,5%","-13 427,00","-5 696,00",10,40
Костромская область,"21 701,00","-1 944,00","91,8%","-17 596,00","-9 865,00",18,67
Курская область,"26 372,00","-488,00","98,2%","-12 925,00","-5 194,00",8,37
Липецкая область,"29 058,00","739,00","102,6%","-10 239,00","-2 508,00",4,27
Московская область,"41 940,00","1 340,00","103,3%","2 643,00","10 374,00",2,7
Орловская область,"23 558,00","-30,00","99,9%","-15 739,00","-8 008,00",14,52
Рязанская область,"23 540,00","-2 261,00","91,2%","-15 757,00","-8 026,00",15,53
Смоленская область,"24 570,00","377,00","101,6%","-14 727,00","-6 996,00",12,45
Тамбовская область,"26 260,00","9,00","100,0%","-13 037,00","-5 306,00",9,39
Тверская область,"24 254,00","-491,00","98,0%","-15 043,00","-7 312,00",13,47
Тульская область,"26 518,00","-841,00","96,9%","-12 779,00","-5 048,00",7,36
Ярославская область,"24 676,00","-2 753,00","90,0%","-14 621,00","-6 890,00",11,44
Южный федеральный округ,"28 542,00","-318,00","98,9%",,"-3 024,00",,5
Астраханская область,"21 725,00","-329,00","98,5%","-6 817,00","-9 841,00",6,65
Волгоградская область,"20 814,00","-288,00","98,6%","-7 728,00","-10 752,00",7,71
г. Севастополь,"27 248,00","-4 079,00","87,0%","-1 294,00","-4 318,00",3,33
Краснодарский край,"35 999,00","-956,00","97,4%","7 457,00","4 433,00",1,14
Республика Адыгея (Адыгея),"26 667,00","1 413,00","105,6%","-1 875,00","-4 899,00",4,35
Республика Калмыкия,"13 308,00","-1 583,00","89,4%","-15 234,00","-18 258,00",8,86
Республика Крым,"22 114,00","382,00","101,8%","-6 428,00","-9 452,00",5,63
Ростовская область,"29 144,00","379,00","101,3%","602,00","-2 422,00",2,26
