Территория,Значение (январь-ноябрь 2018г),к АППГ (январь-ноябрь 2017г)/отклонение,к АППГ (январь-ноябрь 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Орловская область,"22 924,00","-263,00","98,9%","-17 876,00","-9 358,00",16,56
Рязанская область,"24 960,00","0,00","100,0%","-15 840,00","-7 322,00",11,45
Смоленская область,"24 942,00","575,00","102,4%","-15 858,00","-7 340,00",12,46
Тамбовская область,"27 678,00","438,00","101,6%","-13 122,00","-4 604,00",9,34
Тверская область,"24 929,00","-832,00","96,8%","-15 871,00","-7 353,00",13,47
Тульская область,"27 951,00","601,00","102,2%","-12 849,00","-4 331,00",8,31
Ярославская область,"24 863,00","-2 189,00","91,9%","-15 937,00","-7 419,00",14,48
Южный федеральный округ,"26 311,00","-525,00","98,0%",,"-5 971,00",,5
Астраханская область,"22 180,00","-304,00","98,6%","-4 131,00","-10 102,00",5,62
Волгоградская область,"21 484,00","177,00","100,8%","-4 827,00","-10 798,00",6,69
г. Севастополь,"25 722,00","-4 287,00","85,7%","-589,00","-6 560,00",4,41
Краснодарский край,"30 007,00","-1 899,00","94,0%","3 696,00","-2 275,00",1,22
Республика Адыгея (Адыгея),"26 054,00","111,00","100,4%","-257,00","-6 228,00",3,40
Республика Калмыкия,"16 647,00","-2 130,00","88,7%","-9 664,00","-15 635,00",8,82
Республика Крым,"20 089,00","333,00","101,7%","-6 222,00","-12 193,00",7,73
Ростовская область,"28 824,00","798,00","102,8%","2 513,00","-3 458,00",2,27
