Территория,Значение (январь-сентябрь 2017г),к АППГ (январь-сентябрь 2016г)/отклонение,к АППГ (январь-сентябрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Ярославская область,"27 429,00","-1 888,00","93,6%","-12 034,00","-4 144,00",7,33
Южный федеральный округ,"28 860,00","1 922,00","107,1%",,"-2 713,00",,5
Астраханская область,"22 054,00","39,00","100,2%","-6 806,00","-9 519,00",5,66
Волгоградская область,"21 102,00","-70,00","99,7%","-7 758,00","-10 471,00",7,74
г. Севастополь,"31 327,00","7 351,00","130,7%","2 467,00","-246,00",2,21
Краснодарский край,"36 955,00","3 505,00","110,5%","8 095,00","5 382,00",1,13
Республика Адыгея (Адыгея),"25 254,00","254,00","101,0%","-3 606,00","-6 319,00",4,45
Республика Калмыкия,"14 891,00","1 772,00","113,5%","-13 969,00","-16 682,00",8,86
Республика Крым,"21 732,00","1 272,00","106,2%","-7 128,00","-9 841,00",6,68
Ростовская область,"28 765,00","1 332,00","104,9%","-95,00","-2 808,00",3,29
