Территория,Значение (январь-март 2018г),к АППГ (январь-март 2017г)/отклонение,к АППГ (январь-март 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Республика Марий Эл,"23 771,00","6 500,00","137,6%","-10 274,00","-20 985,00",13,81
Республика Мордовия,"23 688,00","5 686,00","131,6%","-10 357,00","-21 068,00",14,82
Республика Татарстан (Татарстан),"41 194,00","10 180,00","132,8%","7 149,00","-3 562,00",1,24
Самарская область,"35 571,00","9 498,00","136,4%","1 526,00","-9 185,00",5,38
Саратовская область,"27 242,00","9 516,00","153,7%","-6 803,00","-17 514,00",11,74
Удмуртская республика,"31 994,00","8 629,00","136,9%","-2 051,00","-12 762,00",6,60
Ульяновская область,"31 283,00","9 001,00","140,4%","-2 762,00","-13 473,00",7,63
Чувашская Республика-Чувашия,"24 599,00","6 434,00","135,4%","-9 446,00","-20 157,00",12,79
Северо-Западный федеральный округ,"49 965,00","16 845,00","150,9%",,"5 209,00",,2
Архангельская область,"43 306,00","11 917,00","138,0%","-6 659,00","-1 450,00",5,20
Архангельская область без авт. округа,"41 517,00","11 924,00","140,3%","-8 448,00","-3 239,00",6,23
Вологодская область,"32 463,00","7 776,00","131,5%","-17 502,00","-12 293,00",11,55
г. Санкт-Петербург,"67 127,00","25 840,00","162,6%","17 162,00","22 371,00",2,6
Калининградская область,"38 594,00","12 610,00","148,5%","-11 371,00","-6 162,00",7,30
Ленинградская область,"35 147,00","7 409,00","126,7%","-14 818,00","-9 609,00",9,42
Мурманская область,"63 772,00","25 226,00","165,4%","13 807,00","19 016,00",3,7
Ненецкий автономный округ,"88 982,00","11 755,00","115,2%","39 017,00","44 226,00",1,4
Новгородская область,"34 645,00","11 112,00","147,2%","-15 320,00","-10 111,00",10,44
Псковская область,"32 208,00","8 948,00","138,5%","-17 757,00","-12 548,00",12,56
Республика Карелия,"35 614,00","9 957,00","138,8%","-14 351,00","-9 142,00",8,36
Республика Коми,"44 007,00","12 856,00","141,3%","-5 958,00","-749,00",4,19
Северо-Кавказский федеральный округ,"36 192,00","14 997,00","170,8%",,"-8 564,00",,5
Кабардино-Балкарская Республика,"28 832,00","8 768,00","143,7%","-7 360,00","-15 924,00",5,71
Карачаево-Черкесская Республика,"25 895,00","8 638,00","150,1%","-10 297,00","-18 861,00",6,76
Республика Дагестан,"49 265,00","27 013,00","221,4%","13 073,00","4 509,00",1,15
Республика Ингушетия,"20 452,00","5 336,00","135,3%","-15 740,00","-24 304,00",7,86
Республика Северная Осетия-Алания,"33 429,00","11 459,00","152,2%","-2 763,00","-11 327,00",2,51
Ставропольский край,"32 125,00","10 734,00","150,2%","-4 067,00","-12 631,00",3,59
Чеченская республика,"30 756,00","8 555,00","138,5%","-5 436,00","-14 000,00",4,65
Сибирский федеральный округ,"33 489,00","10 714,00","147,0%",,"-11 267,00",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"25 642,00","5 564,00","127,7%","-7 847,00","-19 114,00",8,77
Иркутская область,"31 263,00","9 820,00","145,8%","-2 226,00","-13 493,00",5,64
Кемеровская область,"41 598,00","20 670,00","198,8%","8 109,00","-3 158,00",1,22
Красноярский край,"34 911,00","7 791,00","128,7%","1 422,00","-9 845,00",3,43
Новосибирская область,"30 384,00","5 816,00","123,7%","-3 105,00","-14 372,00",6,66
Омская область,"27 986,00","2 649,00","110,5%","-5 503,00","-16 770,00",7,72
Республика Алтай,"25 032,00","7 149,00","140,0%","-8 457,00","-19 724,00",9,78
Республика Тыва,"34 396,00","21 759,00","272,2%","907,00","-10 360,00",4,47
Республика Хакасия,"22 913,00","3 190,00","116,2%","-10 576,00","-21 843,00",10,84
Таймырский автономный округ,,,,,,,
Томская область,"35 587,00","12 787,00","156,1%","2 098,00","-9 169,00",2,37
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"43 938,00","13 591,00","144,8%",,"-818,00",,3
Курганская область,"26 092,00","5 483,00","126,6%","-17 846,00","-18 664,00",7,75
Свердловская область,"48 050,00","14 071,00","141,4%","4 112,00","3 294,00",4,16
Тюменская область,"56 292,00","19 404,00","152,6%","12 354,00","11 536,00",2,11
Тюменская область без авт. округов,"41 975,00","15 689,00","159,7%","-1 963,00","-2 781,00",5,21
Ханты-Мансийский автономный округ,"56 263,00","17 514,00","145,2%","12 325,00","11 507,00",3,12
Челябинская область,"30 297,00","8 899,00","141,6%","-13 641,00","-14 459,00",6,67
Ямало-Ненецкий автономный округ,"95 855,00","35 455,00","158,7%","51 917,00","51 099,00",1,2
Центральный федеральный округ,"57 761,00","18 452,00","146,9%",,"13 005,00",,1
Белгородская область,"39 720,00","11 189,00","139,2%","-18 041,00","-5 036,00",3,26
Брянская область,"33 467,00","7 745,00","130,1%","-24 294,00","-11 289,00",13,50
Владимирская область,"33 070,00","9 707,00","141,5%","-24 691,00","-11 686,00",14,52
Воронежская область,"38 808,00","9 188,00","131,0%","-18 953,00","-5 948,00",4,29
г. Москва,"92 390,00","33 922,00","158,0%","34 629,00","47 634,00",1,3
Ивановская область,"32 962,00","8 021,00","132,2%","-24 799,00","-11 794,00",15,53
Калужская область,"35 169,00","7 130,00","125,4%","-22 592,00","-9 587,00",9,41
Костромская область,"31 312,00","6 954,00","128,5%","-26 449,00","-13 444,00",18,62
Курская область,"34 586,00","9 162,00","136,0%","-23 175,00","-10 170,00",10,45
Липецкая область,"36 324,00","9 260,00","134,2%","-21 437,00","-8 432,00",5,34
Московская область,"58 960,00","16 616,00","139,2%","1 199,00","14 204,00",2,10
Орловская область,"32 208,00","9 591,00","142,4%","-25 553,00","-12 548,00",16,56
Рязанская область,"35 381,00","11 789,00","150,0%","-22 380,00","-9 375,00",8,40
Смоленская область,"32 178,00","7 619,00","131,0%","-25 583,00","-12 578,00",17,58
Тамбовская область,"36 009,00","12 443,00","152,8%","-21 752,00","-8 747,00",6,35
Тверская область,"34 495,00","8 991,00","135,3%","-23 266,00","-10 261,00",11,46
Тульская область,"34 331,00","8 551,00","133,2%","-23 430,00","-10 425,00",12,48
Ярославская область,"35 460,00","9 629,00","137,3%","-22 301,00","-9 296,00",7,39
Южный федеральный округ,"37 085,00","12 922,00","153,5%",,"-7 671,00",,4
Астраханская область,"31 696,00","11 395,00","156,1%","-5 389,00","-13 060,00",5,61
Волгоградская область,"29 819,00","9 759,00","148,6%","-7 266,00","-14 937,00",6,69
г. Севастополь,"36 435,00","16 230,00","180,3%","-650,00","-8 321,00",3,33
Краснодарский край,"45 664,00","16 626,00","157,3%","8 579,00","908,00",1,17
Республика Адыгея (Адыгея),"33 860,00","11 417,00","150,9%","-3 225,00","-10 896,00",4,49
Республика Калмыкия,"16 876,00","2 999,00","121,6%","-20 209,00","-27 880,00",8,87
Республика Крым,"24 229,00","4 253,00","121,3%","-12 856,00","-20 527,00",7,80
Ростовская область,"38 987,00","14 702,00","160,5%","1 902,00","-5 769,00",2,28
