Территория,Значение (январь-сентябрь 2017г),к АППГ (январь-сентябрь 2016г)/отклонение,к АППГ (январь-сентябрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Чувашская Республика-Чувашия,"68,55","-0,89","98,7%","-0,34","-0,91",8,40
Северо-Западный федеральный округ,"71,57","-0,33","99,5%",,"2,11",,2
Архангельская область,"67,93","3,56","105,5%","-3,64","-1,53",8,51
Архангельская область без авт. округа,"67,99","3,93","106,1%","-3,58","-1,47",7,48
Вологодская область,"66,61","-3,75","94,7%","-4,97","-2,85",10,63
г. Санкт-Петербург,"75,21","0,33","100,4%","3,63","5,75",1,5
Калининградская область,"69,14","-0,48","99,3%","-2,44","-0,32",4,35
Ленинградская область,"71,89","1,53","102,2%","0,32","2,43",3,12
Мурманская область,"75,00","-0,77","99,0%","3,43","5,54",2,6
Ненецкий автономный округ,"66,29","-6,21","91,4%","-5,29","-3,17",12,68
Новгородская область,"68,34","-2,03","97,1%","-3,23","-1,12",6,45
Псковская область,"66,56","-2,72","96,1%","-5,01","-2,90",11,66
Республика Карелия,"67,76","-1,52","97,8%","-3,81","-1,70",9,53
Республика Коми,"68,42","-4,76","93,5%","-3,16","-1,04",5,42
Северо-Кавказский федеральный округ,"65,90","0,08","100,1%",,"-3,56",,8
Кабардино-Балкарская Республика,"68,60","-0,15","99,8%","2,70","-0,86",2,39
Карачаево-Черкесская Республика,"63,69","0,99","101,6%","-2,21","-5,77",6,84
Республика Дагестан,"63,28","0,43","100,7%","-2,62","-6,18",7,86
Республика Ингушетия,"78,15","5,29","107,3%","12,25","8,69",1,3
Республика Северная Осетия-Алания,"66,72","2,34","103,6%","0,82","-2,74",4,61
Ставропольский край,"65,00","-1,10","98,3%","-0,91","-4,46",5,76
Чеченская республика,"68,33","-1,41","98,0%","2,42","-1,13",3,46
Сибирский федеральный округ,"67,26","-1,44","97,9%",,"-2,20",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"63,86","-3,01","95,5%","-3,40","-5,60",10,83
Иркутская область,"67,47","-1,89","97,3%","0,21","-1,99",4,56
Кемеровская область,"66,59","-0,93","98,6%","-0,67","-2,87",6,65
Красноярский край,"69,58","0,24","100,3%","2,32","0,12",2,33
Новосибирская область,"68,93","-1,68","97,6%","1,67","-0,53",3,37
Омская область,"70,13","-1,69","97,6%","2,87","0,67",1,31
Республика Алтай,"66,60","-0,43","99,4%","-0,66","-2,86",5,64
Республика Тыва,"65,47","2,94","104,7%","-1,79","-3,99",8,73
Республика Хакасия,"65,90","-0,95","98,6%","-1,36","-3,56",7,72
Таймырский автономный округ,,,,,,,
Томская область,"64,70","-4,89","93,0%","-2,56","-4,76",9,78
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,64","-0,61","99,1%",,"0,18",,4
Курганская область,"64,17","-0,77","98,8%","-5,47","-5,29",7,82
Свердловская область,"67,93","-0,78","98,9%","-1,71","-1,53",5,50
Тюменская область,"71,07","-1,54","97,9%","1,43","1,61",4,21
Тюменская область без авт. округов,"66,00","-2,33","96,6%","-3,64","-3,46",6,71
Ханты-Мансийский автономный округ,"73,49","-1,49","98,0%","3,85","4,03",2,9
Челябинская область,"71,58","0,57","100,8%","1,94","2,12",3,15
Ямало-Ненецкий автономный округ,"77,22","0,60","100,8%","7,58","7,76",1,4
Центральный федеральный округ,"71,60","-0,64","99,1%",,"2,14",,1
Белгородская область,"70,23","0,05","100,1%","-1,37","0,77",9,29
Брянская область,"66,17","-1,81","97,3%","-5,43","-3,29",16,70
Владимирская область,"70,10","-1,18","98,3%","-1,49","0,64",10,32
Воронежская область,"67,21","0,55","100,8%","-4,38","-2,25",14,57
г. Москва,"74,87","-2,64","96,6%","3,28","5,41",1,7
Ивановская область,"71,53","1,18","101,7%","-0,07","2,07",4,16
Калужская область,"70,34","-1,03","98,6%","-1,26","0,88",8,28
Костромская область,"67,69","-0,03","100,0%","-3,91","-1,77",13,55
Курская область,"67,92","0,06","100,1%","-3,68","-1,54",12,52
Липецкая область,"70,80","0,24","100,3%","-0,79","1,34",7,25
Московская область,"73,21","1,00","101,4%","1,61","3,75",2,10
Орловская область,"66,71","-0,51","99,2%","-4,88","-2,75",15,62
Рязанская область,"65,17","1,82","102,9%","-6,42","-4,29",17,75
Смоленская область,"71,38","1,66","102,4%","-0,22","1,92",5,17
Тамбовская область,"64,64","0,07","100,1%","-6,96","-4,82",18,79
Тверская область,"71,62","0,89","101,3%","0,03","2,16",3,14
Тульская область,"69,00","-0,85","98,8%","-2,60","-0,46",11,36
Ярославская область,"70,81","-1,15","98,4%","-0,78","1,35",6,24
Южный федеральный округ,"67,37","-0,29","99,6%",,"-2,09",,6
Астраханская область,"71,12","1,82","102,6%","3,74","1,66",1,19
Волгоградская область,"68,38","0,37","100,5%","1,01","-1,08",3,44
г. Севастополь,"64,45","2,42","103,9%","-2,92","-5,01",7,80
Краснодарский край,"67,75","0,00","100,0%","0,38","-1,71",4,54
Республика Адыгея (Адыгея),"60,17","-0,87","98,6%","-7,20","-9,29",8,87
Республика Калмыкия,"68,42","0,35","100,5%","1,05","-1,04",2,41
Республика Крым,"66,24","1,68","102,6%","-1,13","-3,22",6,69
Ростовская область,"66,88","-2,63","96,2%","-0,49","-2,58",5,60
