Территория,Значение (январь 2017г),к АППГ (январь 2016г)/отклонение,к АППГ (январь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Калининградская область,"70,70","-0,46","99,4%","-1,03","1,29",4,20
Ленинградская область,"70,52","1,24","101,8%","-1,20","1,11",5,23
Мурманская область,"74,21","-1,01","98,7%","2,48","4,80",3,8
Ненецкий автономный округ,"76,25","2,26","103,0%","4,53","6,84",1,3
Новгородская область,"69,17","0,06","100,1%","-2,55","-0,24",7,39
Псковская область,"68,96","2,13","103,2%","-2,76","-0,45",8,44
Республика Карелия,"67,42","0,91","101,4%","-4,30","-1,99",11,56
Республика Коми,"69,64","-3,61","95,1%","-2,08","0,23",6,32
Северо-Кавказский федеральный округ,"65,69","0,38","100,6%",,"-3,72",,8
Кабардино-Балкарская Республика,"65,88","-2,04","97,0%","0,19","-3,53",3,71
Карачаево-Черкесская Республика,"61,68","-1,52","97,6%","-4,01","-7,73",7,84
Республика Дагестан,"63,58","1,42","102,3%","-2,11","-5,83",6,81
Республика Ингушетия,"73,65","1,09","101,5%","7,96","4,24",1,9
Республика Северная Осетия-Алания,"65,01","2,38","103,8%","-0,67","-4,40",5,75
Ставропольский край,"65,71","0,36","100,6%","0,02","-3,70",4,72
Чеченская республика,"69,62","-1,16","98,4%","3,93","0,21",2,33
Сибирский федеральный округ,"67,16","-0,64","99,1%",,"-2,25",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"64,57","-1,16","98,2%","-2,60","-4,84",9,79
Иркутская область,"68,97","-2,28","96,8%","1,81","-0,44",3,43
Кемеровская область,"67,59","1,59","102,4%","0,43","-1,82",5,53
Красноярский край,"69,12","0,58","100,8%","1,96","-0,29",2,40
Новосибирская область,"68,39","-1,96","97,2%","1,22","-1,03",4,47
Омская область,"69,26","0,24","100,4%","2,09","-0,15",1,38
Республика Алтай,"66,17","-0,89","98,7%","-1,00","-3,25",6,68
Республика Тыва,"59,17","-6,09","90,7%","-7,99","-10,24",10,87
Республика Хакасия,"66,01","0,35","100,5%","-1,16","-3,40",7,70
Таймырский автономный округ,,,,,,,
Томская область,"64,76","-1,77","97,3%","-2,41","-4,65",8,76
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"70,38","0,86","101,2%",,"0,97",,4
Курганская область,"63,06","-2,29","96,5%","-7,32","-6,35",7,82
Свердловская область,"69,47","1,31","101,9%","-0,92","0,06",5,36
Тюменская область,"72,56","1,73","102,4%","2,17","3,14",3,11
Тюменская область без авт. округов,"67,43","1,15","101,7%","-2,95","-1,98",6,55
Ханты-Мансийский автономный округ,"75,46","2,53","103,5%","5,07","6,05",2,6
Челябинская область,"71,03","0,14","100,2%","0,65","1,62",4,17
Ямало-Ненецкий автономный округ,"77,17","0,99","101,3%","6,78","7,76",1,2
Центральный федеральный округ,"71,47","0,63","100,9%",,"2,06",,2
Белгородская область,"70,14","0,73","101,0%","-1,33","0,73",5,26
Брянская область,"66,52","-0,02","100,0%","-4,95","-2,89",14,65
Владимирская область,"70,61","0,05","100,1%","-0,87","1,19",4,22
Воронежская область,"65,61","0,43","100,7%","-5,87","-3,80",16,73
г. Москва,"76,23","0,85","101,1%","4,75","6,81",1,4
Ивановская область,"69,59","0,76","101,1%","-1,89","0,18",10,34
Калужская область,"69,97","-1,64","97,7%","-1,51","0,55",8,30
Костромская область,"67,70","2,25","103,4%","-3,78","-1,71",11,50
Курская область,"67,54","-0,10","99,9%","-3,94","-1,88",13,54
Липецкая область,"67,60","1,12","101,7%","-3,87","-1,81",12,52
Московская область,"72,06","1,34","101,9%","0,59","2,65",2,12
Орловская область,"66,44","-1,42","97,9%","-5,03","-2,97",15,67
Рязанская область,"62,99","2,47","104,1%","-8,48","-6,42",18,83
Смоленская область,"70,02","-0,50","99,3%","-1,45","0,61",7,29
Тамбовская область,"65,12","0,48","100,7%","-6,35","-4,29",17,74
Тверская область,"70,09","-0,28","99,6%","-1,38","0,68",6,27
Тульская область,"69,69","0,43","100,6%","-1,79","0,28",9,31
Ярославская область,"71,39","-1,68","97,7%","-0,08","1,98",3,15
Южный федеральный округ,"67,39","0,61","100,9%",,"-2,02",,6
Астраханская область,"68,99","-0,24","99,7%","1,59","-0,42",2,42
Волгоградская область,"67,13","-0,04","99,9%","-0,26","-2,28",5,58
г. Севастополь,"64,70","-3,34","95,1%","-2,69","-4,71",7,78
Краснодарский край,"68,88","1,33","102,0%","1,49","-0,53",3,45
Республика Адыгея (Адыгея),"60,52","-0,81","98,7%","-6,87","-8,89",8,85
Республика Калмыкия,"69,33","-1,85","97,4%","1,94","-0,08",1,37
Республика Крым,"64,73","0,24","100,4%","-2,67","-4,69",6,77
Ростовская область,"67,31","2,01","103,1%","-0,08","-2,10",4,57
