Территория,Значение (январь-апрель 2018г),к АППГ (январь-апрель 2017г)/отклонение,к АППГ (январь-апрель 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Омская область,"69,27","0,66","101,0%","2,72","0,59",1,29
Республика Алтай,"62,88","-2,48","96,2%","-3,66","-5,79",9,84
Республика Тыва,"57,90","-1,19","98,0%","-8,65","-10,78",10,87
Республика Хакасия,"64,70","-1,95","97,1%","-1,85","-3,98",6,66
Таймырский автономный округ,,,,,,,
Томская область,"67,77","5,32","108,5%","1,22","-0,91",4,42
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,31","0,14","100,2%",,"0,63",,4
Курганская область,"63,25","0,10","100,2%","-6,06","-5,43",7,80
Свердловская область,"66,72","-0,76","98,9%","-2,59","-1,95",5,50
Тюменская область,"71,25","0,34","100,5%","1,94","2,57",4,16
Тюменская область без авт. округов,"66,43","1,25","101,9%","-2,88","-2,25",6,54
Ханты-Мансийский автономный округ,"73,43","-0,81","98,9%","4,12","4,75",2,7
Челябинская область,"71,91","1,01","101,4%","2,60","3,23",3,14
Ямало-Ненецкий автономный округ,"77,52","1,58","102,1%","8,21","8,85",1,2
Центральный федеральный округ,"71,12","0,50","100,7%",,"2,45",,1
Белгородская область,"69,99","-0,15","99,8%","-1,14","1,31",4,20
Брянская область,"65,24","-1,42","97,9%","-5,89","-3,44",15,64
Владимирская область,"68,60","-0,79","98,9%","-2,52","-0,07",9,33
Воронежская область,"66,69","0,71","101,1%","-4,44","-1,99",13,51
г. Москва,"75,84","1,34","101,8%","4,71","7,16",1,4
Ивановская область,"67,53","0,44","100,7%","-3,59","-1,15",12,45
Калужская область,"69,34","0,97","101,4%","-1,78","0,66",7,28
Костромская область,"66,61","-0,78","98,8%","-4,51","-2,07",14,52
Курская область,"67,78","-0,02","100,0%","-3,34","-0,89",11,41
Липецкая область,"68,09","0,48","100,7%","-3,03","-0,58",10,37
Московская область,"72,74","0,84","101,2%","1,62","4,07",2,10
Орловская область,"63,53","-2,94","95,6%","-7,60","-5,15",17,78
Рязанская область,"60,19","-2,83","95,5%","-10,93","-8,49",18,85
Смоленская область,"69,36","-0,95","98,6%","-1,77","0,68",6,27
Тамбовская область,"64,34","-0,92","98,6%","-6,78","-4,33",16,71
Тверская область,"69,70","0,76","101,1%","-1,42","1,03",5,25
Тульская область,"68,94","-0,14","99,8%","-2,19","0,26",8,32
Ярославская область,"70,06","2,13","103,1%","-1,07","1,38",3,19
Южный федеральный округ,"66,88","0,30","100,4%",,"-1,80",,6
Астраханская область,"69,24","-3,27","95,5%","2,36","0,56",1,30
Волгоградская область,"68,03","3,23","105,0%","1,15","-0,65",2,38
г. Севастополь,"64,29","1,51","102,4%","-2,59","-4,39",6,72
Краснодарский край,"67,58","-0,09","99,9%","0,70","-1,10",3,44
Республика Адыгея (Адыгея),"60,11","-0,08","99,9%","-6,77","-8,57",8,86
Республика Калмыкия,"67,29","2,42","103,7%","0,41","-1,39",4,46
Республика Крым,"63,59","-1,41","97,8%","-3,29","-5,08",7,77
Ростовская область,"67,14","0,42","100,6%","0,26","-1,53",5,48
