Территория,Значение (январь-октябрь 2018г),к АППГ (январь-октябрь 2017г)/отклонение,к АППГ (январь-октябрь 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Псковская область,"67,67","2,76","104,2%","-2,80","-1,50",8,51
Республика Карелия,"65,43","-3,10","95,5%","-5,04","-3,74",9,67
Республика Коми,"69,69","2,54","103,8%","-0,78","0,52",3,28
Северо-Кавказский федеральный округ,"66,62","0,80","101,2%",,"-2,56",,8
Кабардино-Балкарская Республика,"72,23","3,35","104,9%","5,61","3,05",2,12
Карачаево-Черкесская Республика,"61,84","0,15","100,2%","-4,77","-7,33",7,85
Республика Дагестан,"62,73","-0,40","99,4%","-3,88","-6,44",6,84
Республика Ингушетия,"74,16","-4,80","93,9%","7,54","4,99",1,7
Республика Северная Осетия-Алания,"71,26","3,36","104,9%","4,64","2,09",3,18
Ставропольский край,"66,78","2,05","103,2%","0,16","-2,40",5,59
Чеченская республика,"68,07","-0,20","99,7%","1,45","-1,11",4,47
Сибирский федеральный округ,"66,94","-0,51","99,2%",,"-2,23",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"65,62","1,13","101,8%","-1,32","-3,55",6,66
Иркутская область,"66,02","-1,88","97,2%","-0,92","-3,15",4,61
Кемеровская область,"65,27","-1,25","98,1%","-1,67","-3,90",7,69
Красноярский край,"68,97","-0,55","99,2%","2,03","-0,20",2,35
Новосибирская область,"68,75","-1,07","98,5%","1,81","-0,43",3,40
Омская область,"69,33","-0,58","99,2%","2,39","0,16",1,29
Республика Алтай,"62,91","-3,89","94,2%","-4,03","-6,27",10,83
Республика Тыва,"63,01","-1,48","97,7%","-3,93","-6,17",9,82
Республика Хакасия,"64,72","0,03","100,0%","-2,22","-4,46",8,75
Таймырский автономный округ,,,,,,,
Томская область,"65,81","2,79","104,4%","-1,13","-3,37",5,65
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,25","-0,45","99,4%",,"0,08",,4
Курганская область,"61,32","-3,15","95,1%","-7,93","-7,86",7,86
Свердловская область,"67,19","-0,68","99,0%","-2,06","-1,98",5,52
Тюменская область,"70,94","-0,18","99,7%","1,69","1,76",4,19
Тюменская область без авт. округов,"65,90","-0,08","99,9%","-3,35","-3,27",6,63
Ханты-Мансийский автономный округ,"73,32","-0,43","99,4%","4,07","4,15",2,8
Челябинская область,"71,91","0,19","100,3%","2,66","2,74",3,14
Ямало-Ненецкий автономный округ,"77,18","0,44","100,6%","7,93","8,01",1,2
Центральный федеральный округ,"71,57","-0,32","99,6%",,"2,40",,1
Белгородская область,"70,10","-0,13","99,8%","-1,47","0,93",5,25
Брянская область,"68,46","1,62","102,4%","-3,12","-0,72",11,42
Владимирская область,"68,82","-1,02","98,5%","-2,75","-0,35",9,37
Воронежская область,"66,86","-0,25","99,6%","-4,72","-2,32",14,56
г. Москва,"76,03","0,64","100,8%","4,46","6,86",1,4
Ивановская область,"68,17","-4,42","93,9%","-3,40","-1,00",12,45
Калужская область,"72,30","1,66","102,3%","0,73","3,13",3,10
Костромская область,"65,88","-2,81","95,9%","-5,69","-3,29",15,64
Курская область,"67,69","-0,30","99,6%","-3,88","-1,48",13,50
Липецкая область,"68,68","-1,23","98,2%","-2,89","-0,49",10,41
Московская область,"73,04","-0,81","98,9%","1,47","3,87",2,9
Орловская область,"63,25","-4,01","94,0%","-8,33","-5,93",17,80
Рязанская область,"64,06","-0,78","98,8%","-7,51","-5,11",16,78
Смоленская область,"69,78","-0,91","98,7%","-1,79","0,61",7,27
Тамбовская область,"63,02","-1,27","98,0%","-8,56","-6,16",18,81
Тверская область,"70,53","-0,83","98,8%","-1,04","1,36",4,22
Тульская область,"69,08","0,06","100,1%","-2,49","-0,09",8,32
Ярославская область,"70,06","-0,97","98,6%","-1,51","0,89",6,26
Южный федеральный округ,"67,17","-0,14","99,8%",,"-2,01",,6
Астраханская область,"68,09","-2,82","96,0%","0,92","-1,09",3,46
Волгоградская область,"68,94","0,95","101,4%","1,77","-0,24",1,36
г. Севастополь,"67,03","2,00","103,1%","-0,14","-2,15",5,54
Краснодарский край,"68,44","0,59","100,9%","1,27","-0,74",2,43
Республика Адыгея (Адыгея),"60,20","0,06","100,1%","-6,96","-8,97",8,87
Республика Калмыкия,"67,05","-2,80","96,0%","-0,12","-2,12",4,53
Республика Крым,"63,27","-2,11","96,8%","-3,90","-5,90",7,79
Ростовская область,"66,73","-0,29","99,6%","-0,43","-2,44",6,60
