Территория,Значение (январь-март 2017г),к АППГ (январь-март 2016г)/отклонение,к АППГ (январь-март 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Северо-Западный федеральный округ,"71,20","0,26","100,4%",,"2,43",,1
Архангельская область,"66,15","0,92","101,4%","-5,05","-2,62",8,59
Архангельская область без авт. округа,"65,87","0,90","101,4%","-5,33","-2,90",9,62
Вологодская область,"65,63","-1,66","97,5%","-5,56","-3,13",10,65
г. Санкт-Петербург,"75,47","1,20","101,6%","4,27","6,70",1,4
Калининградская область,"69,14","-2,45","96,6%","-2,06","0,37",5,30
Ленинградская область,"71,82","2,36","103,4%","0,62","3,05",4,15
Мурманская область,"75,02","0,73","101,0%","3,83","6,26",2,5
Ненецкий автономный округ,"73,63","1,36","101,9%","2,43","4,86",3,9
Новгородская область,"69,09","-0,61","99,1%","-2,11","0,32",6,31
Псковская область,"64,13","-3,08","95,4%","-7,07","-4,64",12,77
Республика Карелия,"65,40","-0,93","98,6%","-5,79","-3,36",11,68
Республика Коми,"67,54","-1,86","97,3%","-3,66","-1,23",7,45
Северо-Кавказский федеральный округ,"65,16","-0,06","99,9%",,"-3,61",,8
Кабардино-Балкарская Республика,"66,89","-0,80","98,8%","1,73","-1,87",3,53
Карачаево-Черкесская Республика,"57,75","-6,27","90,2%","-7,41","-11,01",7,87
Республика Дагестан,"63,31","1,07","101,7%","-1,85","-5,46",6,80
Республика Ингушетия,"74,76","2,07","102,8%","9,60","5,99",1,7
Республика Северная Осетия-Алания,"64,31","2,59","104,2%","-0,85","-4,46",5,76
Ставропольский край,"65,05","-0,46","99,3%","-0,11","-3,71",4,71
Чеченская республика,"68,43","-1,30","98,1%","3,27","-0,33",2,39
Сибирский федеральный округ,"66,37","-1,09","98,4%",,"-2,40",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"62,69","-1,39","97,8%","-3,68","-6,08",9,82
Иркутская область,"68,01","-2,50","96,5%","1,64","-0,76",4,43
Кемеровская область,"65,56","-0,74","98,9%","-0,81","-3,21",7,67
Красноярский край,"68,45","0,27","100,4%","2,09","-0,31",3,38
Новосибирская область,"69,16","-0,76","98,9%","2,79","0,39",1,29
Омская область,"68,76","-0,53","99,2%","2,39","-0,01",2,33
Республика Алтай,"67,19","0,83","101,3%","0,82","-1,58",5,50
Республика Тыва,"57,76","-7,32","88,8%","-8,60","-11,00",10,86
Республика Хакасия,"66,35","1,59","102,5%","-0,02","-2,41",6,56
Таймырский автономный округ,,,,,,,
Томская область,"63,54","-2,17","96,7%","-2,83","-5,23",8,79
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,37","-0,14","99,8%",,"0,60",,4
Курганская область,"62,91","-1,88","97,1%","-6,46","-5,86",7,81
Свердловская область,"67,80","-0,71","99,0%","-1,57","-0,97",5,44
Тюменская область,"71,21","0,60","100,9%","1,85","2,45",3,17
Тюменская область без авт. округов,"65,80","0,25","100,4%","-3,57","-2,97",6,63
Ханты-Мансийский автономный округ,"74,47","1,79","102,5%","5,10","5,70",2,8
Челябинская область,"70,93","0,18","100,3%","1,57","2,17",4,18
Ямало-Ненецкий автономный округ,"75,69","-1,79","97,7%","6,32","6,92",1,3
Центральный федеральный округ,"70,82","0,04","100,1%",,"2,06",,2
Белгородская область,"70,13","0,37","100,5%","-0,70","1,36",4,24
Брянская область,"66,65","-0,69","99,0%","-4,17","-2,12",14,54
Владимирская область,"68,47","0,62","100,9%","-2,35","-0,29",9,36
Воронежская область,"65,70","0,51","100,8%","-5,12","-3,06",16,64
г. Москва,"74,81","-0,40","99,5%","3,99","6,04",1,6
Ивановская область,"67,24","0,30","100,5%","-3,58","-1,52",13,48
Калужская область,"69,42","-1,98","97,2%","-1,40","0,65",6,27
Костромская область,"68,08","1,34","102,0%","-2,74","-0,68",10,42
Курская область,"67,53","-0,16","99,8%","-3,29","-1,24",11,46
Липецкая область,"67,40","0,38","100,6%","-3,42","-1,36",12,47
Московская область,"72,12","0,95","101,3%","1,30","3,35",2,12
Орловская область,"66,16","-0,99","98,5%","-4,66","-2,61",15,58
Рязанская область,"63,73","1,65","102,7%","-7,09","-5,04",18,78
Смоленская область,"70,58","-1,00","98,6%","-0,25","1,81",3,20
Тамбовская область,"65,29","0,60","100,9%","-5,53","-3,47",17,69
Тверская область,"68,67","-0,10","99,8%","-2,15","-0,09",8,34
Тульская область,"69,39","0,31","100,4%","-1,43","0,63",7,28
Ярославская область,"69,56","-2,88","96,0%","-1,26","0,80",5,25
Южный федеральный округ,"66,70","-0,18","99,7%",,"-2,06",,6
Астраханская область,"71,89","3,01","104,4%","5,19","3,13",1,14
Волгоградская область,"65,94","-0,82","98,8%","-0,77","-2,83",4,61
г. Севастополь,"62,56","-2,69","95,9%","-4,14","-6,21",7,83
Краснодарский край,"68,61","1,86","102,8%","1,90","-0,16",2,35
Республика Адыгея (Адыгея),"60,21","-0,95","98,5%","-6,49","-8,55",8,84
Республика Калмыкия,"65,97","-4,31","93,9%","-0,74","-2,80",3,60
Республика Крым,"64,53","2,89","104,7%","-2,18","-4,24",6,73
Ростовская область,"65,60","-1,44","97,9%","-1,10","-3,16",5,66
