Территория,Значение (январь-июнь 2017г),к АППГ (январь-июнь 2016г)/отклонение,к АППГ (январь-июнь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Липецкая область,"69,49","0,38","100,5%","-1,55","0,64",5,27
Московская область,"72,85","-0,07","99,9%","1,81","4,00",2,9
Орловская область,"65,64","-0,44","99,3%","-5,40","-3,21",16,68
Рязанская область,"62,30","-1,58","97,5%","-8,74","-6,54",18,84
Смоленская область,"69,08","0,95","101,4%","-1,96","0,24",8,33
Тамбовская область,"65,02","0,34","100,5%","-6,02","-3,83",17,69
Тверская область,"69,38","0,30","100,4%","-1,66","0,54",6,28
Тульская область,"69,00","-0,13","99,8%","-2,04","0,15",9,34
Ярославская область,"68,46","-0,90","98,7%","-2,58","-0,39",10,41
Южный федеральный округ,"66,27","-0,59","99,1%",,"-2,58",,7
Астраханская область,"71,01","1,98","102,9%","4,74","2,16",1,17
Волгоградская область,"64,83","-1,94","97,1%","-1,44","-4,01",5,72
г. Севастополь,"64,69","1,99","103,2%","-1,57","-4,15",6,75
Краснодарский край,"67,02","0,14","100,2%","0,75","-1,82",2,50
Республика Адыгея (Адыгея),"60,19","-0,84","98,6%","-6,08","-8,65",8,86
Республика Калмыкия,"64,97","-5,67","92,0%","-1,30","-3,87",4,71
Республика Крым,"63,93","0,65","101,0%","-2,34","-4,92",7,80
Ростовская область,"66,96","0,21","100,3%","0,69","-1,89",3,52
