Территория,Значение (январь-октябрь 2017г),к АППГ (январь-октябрь 2016г)/отклонение,к АППГ (январь-октябрь 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Удмуртская республика,"68,95","-3,75","94,8%","0,18","-0,55",6,39
Ульяновская область,"67,81","-0,79","98,9%","-0,96","-1,69",10,53
Чувашская Республика-Чувашия,"67,46","-0,74","98,9%","-1,32","-2,04",11,55
Северо-Западный федеральный округ,"71,32","-0,48","99,3%",,"1,82",,2
Архангельская область,"67,37","2,67","104,1%","-3,95","-2,13",8,57
Архангельская область без авт. округа,"67,42","2,92","104,5%","-3,90","-2,08",7,56
Вологодская область,"66,43","-3,77","94,6%","-4,89","-3,07",10,67
г. Санкт-Петербург,"74,91","0,01","100,0%","3,59","5,41",2,7
Калининградская область,"69,75","-1,35","98,1%","-1,57","0,25",4,33
Ленинградская область,"71,57","1,47","102,1%","0,25","2,07",3,16
Мурманская область,"75,06","0,26","100,4%","3,74","5,56",1,6
Ненецкий автономный округ,"66,05","-5,35","92,5%","-5,27","-3,45",11,68
Новгородская область,"69,22","-0,88","98,7%","-2,10","-0,28",5,36
Псковская область,"64,91","-2,89","95,7%","-6,41","-4,59",12,75
Республика Карелия,"68,53","0,43","100,6%","-2,79","-0,97",6,44
Республика Коми,"67,15","-5,35","92,6%","-4,17","-2,35",9,59
Северо-Кавказский федеральный округ,"65,82","0,12","100,2%",,"-3,68",,8
Кабардино-Балкарская Республика,"68,87","1,07","101,6%","3,05","-0,63",2,41
Карачаево-Черкесская Республика,"61,70","-0,70","98,9%","-4,12","-7,80",7,86
Республика Дагестан,"63,13","0,23","100,4%","-2,68","-6,37",6,84
Республика Ингушетия,"78,96","5,86","108,0%","13,14","9,46",1,3
Республика Северная Осетия-Алания,"67,90","3,40","105,3%","2,09","-1,60",4,48
Ставропольский край,"64,73","-1,17","98,2%","-1,09","-4,77",5,77
Чеченская республика,"68,27","-1,53","97,8%","2,45","-1,23",3,45
Сибирский федеральный округ,"67,45","-0,95","98,6%",,"-2,05",,6
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"64,49","-2,31","96,5%","-2,96","-5,01",8,79
Иркутская область,"67,90","-1,40","98,0%","0,45","-1,60",4,49
Кемеровская область,"66,52","-1,08","98,4%","-0,92","-2,98",6,65
Красноярский край,"69,52","0,92","101,3%","2,07","0,02",3,34
Новосибирская область,"69,82","-1,28","98,2%","2,37","0,32",2,31
Омская область,"69,91","-1,39","98,0%","2,46","0,41",1,28
Республика Алтай,"66,80","1,60","102,4%","-0,65","-2,70",5,64
Республика Тыва,"64,48","1,68","102,7%","-2,97","-5,02",9,80
Республика Хакасия,"64,69","-0,51","99,2%","-2,76","-4,81",7,78
Таймырский автономный округ,,,,,,,
Томская область,"63,02","-4,48","93,4%","-4,43","-6,48",10,85
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,70","-0,50","99,3%",,"0,20",,4
Курганская область,"64,46","0,96","101,5%","-5,23","-5,04",7,81
Свердловская область,"67,88","-1,22","98,2%","-1,82","-1,62",5,50
Тюменская область,"71,12","-1,38","98,1%","1,42","1,62",4,19
Тюменская область без авт. округов,"65,98","-2,02","97,0%","-3,72","-3,52",6,69
Ханты-Мансийский автономный округ,"73,76","-1,24","98,3%","4,06","4,26",2,10
Челябинская область,"71,72","0,72","101,0%","2,03","2,23",3,14
Ямало-Ненецкий автономный округ,"76,74","0,34","100,4%","7,05","7,24",1,4
Центральный федеральный округ,"71,89","-0,11","99,8%",,"2,39",,1
Белгородская область,"70,23","0,03","100,0%","-1,66","0,73",8,26
Брянская область,"66,83","-1,17","98,3%","-5,06","-2,67",16,63
Владимирская область,"69,85","-0,85","98,8%","-2,04","0,35",10,29
Воронежская область,"67,10","0,50","100,8%","-4,79","-2,40",15,61
г. Москва,"75,39","-1,71","97,8%","3,50","5,89",1,5
Ивановская область,"72,60","2,30","103,3%","0,70","3,10",3,11
Калужская область,"70,64","0,14","100,2%","-1,25","1,14",7,24
Костромская область,"68,69","1,89","102,8%","-3,20","-0,81",12,42
Курская область,"67,99","0,09","100,1%","-3,90","-1,51",13,46
Липецкая область,"69,91","0,21","100,3%","-1,98","0,41",9,27
Московская область,"73,86","1,66","102,3%","1,96","4,36",2,9
Орловская область,"67,25","1,35","102,1%","-4,64","-2,25",14,58
Рязанская область,"64,84","1,44","102,3%","-7,05","-4,66",17,76
Смоленская область,"70,69","0,39","100,6%","-1,20","1,19",6,23
Тамбовская область,"64,29","-0,41","99,4%","-7,60","-5,21",18,82
Тверская область,"71,36","0,56","100,8%","-0,53","1,86",4,17
Тульская область,"69,02","-0,89","98,7%","-2,88","-0,48",11,38
Ярославская область,"71,03","-1,17","98,4%","-0,86","1,53",5,20
Южный федеральный округ,"67,31","0,01","100,0%",,"-2,19",,7
Астраханская область,"70,91","1,91","102,8%","3,60","1,41",1,21
Волгоградская область,"67,99","-0,61","99,1%","0,68","-1,51",3,47
г. Севастополь,"65,02","3,42","105,6%","-2,28","-4,48",7,74
Краснодарский край,"67,85","0,05","100,1%","0,54","-1,65",4,51
Республика Адыгея (Адыгея),"60,15","-0,75","98,8%","-7,16","-9,35",8,87
Республика Калмыкия,"69,85","1,35","102,0%","2,54","0,35",2,30
Республика Крым,"65,38","2,18","103,4%","-1,93","-4,12",6,72
Ростовская область,"67,02","-1,38","98,0%","-0,29","-2,48",5,62
