Территория,Значение (январь-май 2018г),к АППГ (январь-май 2017г)/отклонение,к АППГ (январь-май 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Новосибирская область,"67,43","-0,31","99,5%","0,79","-1,35",4,45
Омская область,"69,30","0,43","100,6%","2,66","0,53",1,30
Республика Алтай,"64,43","-2,84","95,8%","-2,22","-4,35",9,74
Республика Тыва,"58,39","-1,88","96,9%","-8,25","-10,38",10,87
Республика Хакасия,"65,04","-1,44","97,8%","-1,61","-3,74",6,68
Таймырский автономный округ,,,,,,,
Томская область,"68,07","3,81","105,9%","1,43","-0,71",3,39
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"69,48","0,06","100,1%",,"0,70",,4
Курганская область,"61,96","-3,13","95,2%","-7,52","-6,82",7,85
Свердловская область,"67,69","0,36","100,5%","-1,79","-1,09",5,42
Тюменская область,"70,92","-0,35","99,5%","1,43","2,14",4,16
Тюменская область без авт. округов,"66,03","0,05","100,1%","-3,45","-2,75",6,59
Ханты-Мансийский автономный округ,"73,18","-0,84","98,9%","3,69","4,40",2,8
Челябинская область,"71,99","0,85","101,2%","2,50","3,21",3,12
Ямало-Ненецкий автономный округ,"77,13","0,16","100,2%","7,65","8,36",1,2
Центральный федеральный округ,"71,43","0,61","100,9%",,"2,65",,1
Белгородская область,"70,03","-0,14","99,8%","-1,39","1,25",4,23
Брянская область,"65,15","-0,90","98,6%","-6,28","-3,63",15,67
Владимирская область,"68,36","-1,11","98,4%","-3,07","-0,42",10,36
Воронежская область,"66,89","0,64","101,0%","-4,53","-1,88",13,50
г. Москва,"76,27","1,32","101,8%","4,85","7,50",1,3
Ивановская область,"67,11","-1,23","98,2%","-4,31","-1,66",12,48
Калужская область,"69,82","0,71","101,0%","-1,61","1,04",5,24
Костромская область,"65,20","-1,37","97,9%","-6,22","-3,58",14,66
Курская область,"67,84","0,00","100,0%","-3,59","-0,94",11,40
Липецкая область,"69,61","1,14","101,7%","-1,82","0,83",8,29
Московская область,"72,98","0,88","101,2%","1,55","4,20",2,9
Орловская область,"64,02","-1,67","97,5%","-7,41","-4,76",17,78
Рязанская область,"62,27","-0,74","98,8%","-9,16","-6,51",18,83
Смоленская область,"70,45","1,03","101,5%","-0,97","1,68",3,18
Тамбовская область,"64,42","-0,61","99,1%","-7,01","-4,36",16,75
Тверская область,"69,74","0,60","100,9%","-1,69","0,96",7,27
Тульская область,"68,95","-0,06","99,9%","-2,48","0,17",9,32
Ярославская область,"69,75","2,30","103,4%","-1,68","0,97",6,26
Южный федеральный округ,"66,78","0,50","100,8%",,"-2,00",,6
Астраханская область,"68,99","-2,90","96,0%","2,21","0,21",1,31
Волгоградская область,"68,17","3,02","104,6%","1,39","-0,61",2,37
г. Севастополь,"66,27","1,65","102,5%","-0,51","-2,50",5,56
Краснодарский край,"66,98","-0,02","100,0%","0,20","-1,80",4,49
Республика Адыгея (Адыгея),"60,11","-0,08","99,9%","-6,68","-8,67",8,86
Республика Калмыкия,"65,95","1,49","102,3%","-0,83","-2,83",6,61
Республика Крым,"63,34","-0,80","98,7%","-3,44","-5,43",7,81
Ростовская область,"67,51","0,93","101,4%","0,73","-1,26",3,44
