Территория,Значение (январь-май 2017г),к АППГ (январь-май 2016г)/отклонение,к АППГ (январь-май 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Тюменская область,"71,27","-0,18","99,7%","1,84","2,45",3,16
Тюменская область без авт. округов,"65,98","-0,64","99,0%","-3,45","-2,84",6,65
Ханты-Мансийский автономный округ,"74,01","0,33","100,4%","4,59","5,19",2,7
Челябинская область,"71,14","0,37","100,5%","1,71","2,31",4,17
Ямало-Ненецкий автономный округ,"76,97","-0,27","99,6%","7,54","8,15",1,2
Центральный федеральный округ,"70,82","-0,36","99,5%",,"2,00",,2
Белгородская область,"70,17","0,22","100,3%","-0,65","1,35",3,22
Брянская область,"66,05","-0,17","99,7%","-4,77","-2,77",15,64
Владимирская область,"69,47","3,07","104,6%","-1,35","0,64",4,26
Воронежская область,"66,26","0,76","101,2%","-4,56","-2,57",14,63
г. Москва,"74,96","-1,37","98,2%","4,14","6,13",1,5
Ивановская область,"68,34","1,55","102,3%","-2,48","-0,48",10,41
Калужская область,"69,10","-1,56","97,8%","-1,72","0,28",7,31
Костромская область,"66,57","-0,42","99,4%","-4,25","-2,25",13,58
Курская область,"67,84","0,10","100,1%","-2,98","-0,99",11,46
Липецкая область,"68,47","0,28","100,4%","-2,35","-0,35",9,39
Московская область,"72,10","-0,31","99,6%","1,28","3,28",2,13
Орловская область,"65,68","-0,01","100,0%","-5,14","-3,14",16,67
Рязанская область,"63,01","0,16","100,3%","-7,81","-5,82",18,81
Смоленская область,"69,42","0,39","100,6%","-1,40","0,60",5,27
Тамбовская область,"65,03","0,42","100,6%","-5,80","-3,80",17,72
Тверская область,"69,14","0,39","100,6%","-1,68","0,32",6,30
Тульская область,"69,00","0,18","100,3%","-1,82","0,18",8,32
Ярославская область,"67,45","-3,05","95,7%","-3,37","-1,37",12,48
Южный федеральный округ,"66,28","-0,93","98,6%",,"-2,54",,7
Астраханская область,"71,89","3,07","104,5%","5,60","3,06",1,15
Волгоградская область,"65,14","-1,49","97,8%","-1,14","-3,68",4,70
г. Севастополь,"64,63","0,62","101,0%","-1,66","-4,19",5,74
Краснодарский край,"67,01","0,39","100,6%","0,72","-1,82",2,54
Республика Адыгея (Адыгея),"60,19","-0,82","98,7%","-6,09","-8,63",8,86
Республика Калмыкия,"64,46","-5,90","91,6%","-1,82","-4,36",6,75
Республика Крым,"64,15","3,10","105,1%","-2,14","-4,67",7,79
Ростовская область,"66,59","-1,78","97,4%","0,30","-2,24",3,57
