Территория,Значение (январь-июль 2018г),к АППГ (январь-июль 2017г)/отклонение,к АППГ (январь-июль 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Кемеровская область,"65,15","-0,67","99,0%","-1,69","-3,71",7,72
Красноярский край,"68,85","-0,44","99,4%","2,01","-0,01",2,34
Новосибирская область,"66,71","-0,54","99,2%","-0,13","-2,14",4,55
Омская область,"69,76","-0,45","99,4%","2,92","0,91",1,26
Республика Алтай,"64,97","-1,21","98,2%","-1,87","-3,88",9,75
Республика Тыва,"64,35","3,12","105,1%","-2,49","-4,50",10,79
Республика Хакасия,"65,06","-0,65","99,0%","-1,78","-3,80",8,73
Таймырский автономный округ,,,,,,,
Томская область,"67,25","-0,55","99,2%","0,41","-1,61",3,47
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"68,99","-0,36","99,5%",,"0,14",,4
Курганская область,"59,86","-4,13","93,5%","-9,13","-9,00",7,87
Свердловская область,"66,84","0,13","100,2%","-2,15","-2,01",5,52
Тюменская область,"70,80","-0,92","98,7%","1,81","1,95",4,17
Тюменская область без авт. округов,"65,72","-0,70","99,0%","-3,27","-3,13",6,66
Ханты-Мансийский автономный округ,"73,28","-1,53","98,0%","4,29","4,43",2,8
Челябинская область,"71,92","0,50","100,7%","2,93","3,07",3,11
Ямало-Ненецкий автономный округ,"76,86","0,47","100,6%","7,87","8,01",1,2
Центральный федеральный округ,"71,34","0,14","100,2%",,"2,49",,1
Белгородская область,"70,09","-0,12","99,8%","-1,25","1,24",6,24
Брянская область,"65,95","0,13","100,2%","-5,39","-2,90",15,63
Владимирская область,"68,01","-2,21","96,9%","-3,33","-0,84",10,41
Воронежская область,"66,78","0,18","100,3%","-4,57","-2,08",13,53
г. Москва,"75,66","0,64","100,9%","4,31","6,80",1,4
Ивановская область,"68,01","-1,27","98,2%","-3,34","-0,84",11,42
Калужская область,"71,45","0,60","100,8%","0,11","2,60",3,14
Костромская область,"65,44","-0,46","99,3%","-5,90","-3,41",16,68
Курская область,"67,69","-0,17","99,8%","-3,66","-1,17",12,44
Липецкая область,"70,38","0,04","100,1%","-0,96","1,53",5,19
Московская область,"72,76","-0,02","100,0%","1,41","3,90",2,10
Орловская область,"66,76","2,55","104,0%","-4,58","-2,09",14,54
Рязанская область,"62,85","0,51","100,8%","-8,50","-6,01",18,84
Смоленская область,"68,65","-1,60","97,7%","-2,69","-0,20",9,37
Тамбовская область,"64,61","-0,28","99,6%","-6,74","-4,25",17,78
Тверская область,"70,95","0,70","101,0%","-0,39","2,10",4,16
Тульская область,"69,52","0,43","100,6%","-1,82","0,67",7,28
Ярославская область,"68,87","-0,95","98,6%","-2,47","0,02",8,33
Южный федеральный округ,"66,46","-0,02","100,0%",,"-2,39",,7
Астраханская область,"68,68","-2,42","96,6%","2,22","-0,17",2,36
Волгоградская область,"67,21","1,39","102,1%","0,75","-1,64",4,48
г. Севастополь,"70,23","5,65","108,8%","3,77","1,37",1,23
Краснодарский край,"67,60","0,54","100,8%","1,14","-1,25",3,46
Республика Адыгея (Адыгея),"60,08","-0,15","99,7%","-6,38","-8,77",8,86
Республика Калмыкия,"64,85","-2,47","96,3%","-1,61","-4,00",6,76
Республика Крым,"63,26","-0,84","98,7%","-3,20","-5,59",7,82
Ростовская область,"65,82","-1,05","98,4%","-0,64","-3,03",5,65
