Территория,Значение (январь-март 2018г),к АППГ (январь-март 2017г)/отклонение,к АППГ (январь-март 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Карачаево-Черкесская Республика,"77,90","9,90","114,6%","1,40","4,20",4,8
Республика Дагестан,"82,30","0,40","100,5%","5,80","8,60",1,1
Республика Ингушетия,"64,90","1,30","102,0%","-11,60","-8,80",5,73
Республика Северная Осетия-Алания,"62,50","14,00","128,9%","-14,00","-11,20",6,76
Ставропольский край,"78,70","8,00","111,3%","2,20","5,00",3,5
Чеченская республика,"80,20","4,20","105,5%","3,70","6,50",2,4
Сибирский федеральный округ,"71,60","8,00","112,6%",,"-2,10",,7
Агинский-Бурятский автономный округ,,,,,,,
Алтайский край,"70,90","4,60","106,9%","-0,70","-2,80",7,48
Иркутская область,"74,60","11,10","117,5%","3,00","0,90",3,25
Кемеровская область,"67,50","9,30","116,0%","-4,10","-6,20",9,65
Красноярский край,"72,30","8,60","113,5%","0,70","-1,40",5,39
Новосибирская область,"72,60","7,90","112,2%","1,00","-1,10",4,37
Омская область,"75,70","7,20","110,5%","4,10","2,00",2,17
Республика Алтай,"80,40","16,00","124,8%","8,80","6,70",1,3
Республика Тыва,"63,30","1,60","102,6%","-8,30","-10,40",10,75
Республика Хакасия,"69,60","9,50","115,8%","-2,00","-4,10",8,55
Таймырский автономный округ,,,,,,,
Томская область,"72,30","5,40","108,1%","0,70","-1,40",5,39
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"72,30","8,80","113,9%",,"-1,40",,6
Курганская область,"67,50","12,90","123,6%","-4,80","-6,20",7,65
Свердловская область,"73,20","7,00","110,6%","0,90","-0,50",2,32
Тюменская область,"72,80","9,70","115,4%","0,50","-0,90",4,36
Тюменская область без авт. округов,"72,90","10,00","115,9%","0,60","-0,80",3,34
Ханты-Мансийский автономный округ,"74,40","10,30","116,1%","2,10","0,70",1,27
Челябинская область,"71,00","9,10","114,7%","-1,30","-2,70",5,47
Ямало-Ненецкий автономный округ,"68,00","7,30","112,0%","-4,30","-5,70",6,63
Центральный федеральный округ,"74,50","7,90","111,9%",,"0,80",,3
Белгородская область,"75,20","5,80","108,4%","0,70","1,50",5,21
Брянская область,"70,60","9,90","116,3%","-3,90","-3,10",12,50
Владимирская область,"69,20","8,50","114,0%","-5,30","-4,50",15,57
Воронежская область,"77,90","5,00","106,9%","3,40","4,20",2,8
г. Москва,"76,60","9,20","113,6%","2,10","2,90",4,13
Ивановская область,"60,60","2,70","104,7%","-13,90","-13,10",17,79
Калужская область,"72,60","10,40","116,7%","-1,90","-1,10",9,37
Костромская область,"60,70","2,80","104,8%","-13,80","-13,00",16,78
Курская область,"74,10","9,40","114,5%","-0,40","0,40",8,29
Липецкая область,"74,60","7,60","111,3%","0,10","0,90",6,25
Московская область,"77,30","6,70","109,5%","2,80","3,60",3,11
Орловская область,"69,90","2,40","103,6%","-4,60","-3,80",14,52
Рязанская область,"78,70","9,20","113,2%","4,20","5,00",1,5
Смоленская область,"70,40","6,00","109,3%","-4,10","-3,30",13,51
Тамбовская область,"71,50","6,00","109,2%","-3,00","-2,20",10,45
Тверская область,"58,30","7,80","115,4%","-16,20","-15,40",18,81
Тульская область,"74,30","8,90","113,6%","-0,20","0,60",7,28
Ярославская область,"70,70","8,40","113,5%","-3,80","-3,00",11,49
Южный федеральный округ,"73,60","9,80","115,4%",,"-0,10",,5
Астраханская область,"55,50","3,80","107,4%","-18,10","-18,20",8,84
Волгоградская область,"73,30","10,80","117,3%","-0,30","-0,40",5,31
г. Севастополь,"63,70","8,60","115,6%","-9,90","-10,00",7,74
Краснодарский край,"77,00","12,20","118,8%","3,40","3,30",1,12
Республика Адыгея (Адыгея),"75,20","2,20","103,0%","1,60","1,50",4,21
Республика Калмыкия,"75,40","2,20","103,0%","1,80","1,70",2,19
Республика Крым,"67,20","11,40","120,4%","-6,40","-6,50",6,67
Ростовская область,"75,30","7,40","110,9%","1,70","1,60",3,20
