Территория,Значение (январь-март 2017г),к АППГ (январь-март 2016г)/отклонение,к АППГ (январь-март 2016г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"100,10","-3,60","96,5%",,"-8,00",,5
Курганская область,"113,80","2,30","102,1%","13,70","5,70",2,27
Свердловская область,"102,30","-4,00","96,2%","2,20","-5,80",3,43
Тюменская область,"97,90","-1,70","98,3%","-2,20","-10,20",5,55
Тюменская область без авт. округов,"119,00","28,50","131,5%","18,90","10,90",1,22
Ханты-Мансийский автономный округ,"97,80","0,00","100,0%","-2,30","-10,30",6,56
Челябинская область,"100,70","-7,80","92,8%","0,60","-7,40",4,48
Ямало-Ненецкий автономный округ,"63,30","-65,60","49,1%","-36,80","-44,80",7,83
Центральный федеральный округ,"116,60","19,80","120,5%",,"8,50",,2
Белгородская область,"114,50","16,00","116,2%","-2,10","6,40",5,25
Брянская область,"111,60","-12,20","90,1%","-5,00","3,50",8,31
Владимирская область,"88,70","3,70","104,4%","-27,90","-19,40",16,67
Воронежская область,"113,90","15,30","115,5%","-2,70","5,80",6,26
г. Москва,"112,00","19,40","121,0%","-4,60","3,90",7,30
Ивановская область,"62,40","-17,00","78,6%","-54,20","-45,70",18,84
Калужская область,"98,20","-0,40","99,6%","-18,40","-9,90",12,53
Костромская область,"101,30","11,00","112,2%","-15,30","-6,80",11,46
Курская область,"109,60","24,30","128,5%","-7,00","1,50",9,33
Липецкая область,"120,60","19,10","118,8%","4,00","12,50",4,19
Московская область,"133,10","43,10","147,9%","16,50","25,00",2,9
Орловская область,"66,90","-33,50","66,6%","-49,70","-41,20",17,80
Рязанская область,"94,70","-17,00","84,8%","-21,90","-13,40",13,59
Смоленская область,"150,10","56,30","160,0%","33,50","42,00",1,6
Тамбовская область,"129,00","21,30","119,8%","12,40","20,90",3,13
Тверская область,"91,20","-20,10","81,9%","-25,40","-16,90",14,65
Тульская область,"88,90","-8,60","91,2%","-27,70","-19,20",15,66
Ярославская область,"103,60","-3,70","96,6%","-13,00","-4,50",10,39
Южный федеральный округ,"96,40","-4,80","95,3%",,"-11,70",,7
Астраханская область,"78,70","-59,90","56,8%","-17,70","-29,40",7,74
Волгоградская область,"125,60","20,40","119,4%","29,20","17,50",2,14
г. Севастополь,"132,40","-59,70","68,9%","36,00","24,30",1,10
Краснодарский край,"103,40","5,80","105,9%","7,00","-4,70",3,40
Республика Адыгея (Адыгея),"98,40","22,00","128,8%","2,00","-9,70",4,52
Республика Калмыкия,"43,30","-37,40","53,7%","-53,10","-64,80",8,87
Республика Крым,"91,30","-31,10","74,6%","-5,10","-16,80",5,64
Ростовская область,"81,30","-22,60","78,2%","-15,10","-26,80",6,72
