Территория,Значение (январь-март 2018г),к АППГ (январь-март 2017г)/отклонение,к АППГ (январь-март 2017г)/темп роста,Отклонение от/ФО,Отклонение от/РФ,Ранг по/ФО,Ранг по/РФ
Алтайский край,"1,70","-0,10","94,4%","0,30","0,70",7,72
Иркутская область,"1,10","-0,30","78,6%","-0,30","0,10",3,46
Кемеровская область,"1,90","-0,50","79,2%","0,50","0,90",8,76
Красноярский край,"1,00","-0,20","83,3%","-0,40","0,00",1,39
Новосибирская область,"1,00","-0,10","90,9%","-0,40","0,00",1,39
Омская область,"1,30","0,00","100,0%","-0,10","0,30",4,55
Республика Алтай,"2,50","-0,60","80,6%","1,10","1,50",9,81
Республика Тыва,"4,10","-0,60","87,2%","2,70","3,10",10,85
Республика Хакасия,"1,60","-0,50","76,2%","0,20","0,60",6,67
Таймырский автономный округ,,,,,,,
Томская область,"1,50","-0,20","88,2%","0,10","0,50",5,62
Усть-Ордынский Бурятский автономный округ,,,,,,,
Читинская область,,,,,,,
Эвенкийский автономный округ,,,,,,,
Уральский федеральный округ,"1,10","-0,30","78,6%",,"0,10",,5
Курганская область,"1,80","-0,20","90,0%","0,70","0,80",7,74
Свердловская область,"1,20","-0,30","80,0%","0,10","0,20",5,51
Тюменская область,"0,60","-0,10","85,7%","-0,50","-0,40",2,11
Тюменская область без авт. округов,"0,60","-0,20","75,0%","-0,50","-0,40",2,11
Ханты-Мансийский автономный округ,"0,50","-0,10","83,3%","-0,60","-0,50",1,6
Челябинская область,"1,40","-0,40","77,8%","0,30","0,40",6,60
Ямало-Ненецкий автономный округ,"0,70","-0,30","70,0%","-0,40","-0,30",4,18
Центральный федеральный округ,"0,60","-0,20","75,0%",,"-0,40",,1
Белгородская область,"0,70","0,00","100,0%","0,10","-0,30",7,18
Брянская область,"0,90","-0,20","81,8%","0,30","-0,10",13,31
Владимирская область,"1,10","-0,10","91,7%","0,50","0,10",16,46
Воронежская область,"0,90","-0,20","81,8%","0,30","-0,10",13,31
г. Москва,"0,40","-0,10","80,0%","-0,20","-0,60",1,3
Ивановская область,"0,80","-0,30","72,7%","0,20","-0,20",8,22
Калужская область,"0,50","-0,20","71,4%","-0,10","-0,50",2,6
Костромская область,"0,60","-0,20","75,0%","0,00","-0,40",5,11
Курская область,"0,80","-0,20","80,0%","0,20","-0,20",8,22
Липецкая область,"0,50","0,00","100,0%","-0,10","-0,50",2,6
Московская область,"0,50","-0,20","71,4%","-0,10","-0,50",2,6
Орловская область,"0,90","-0,30","75,0%","0,30","-0,10",13,31
Рязанская область,"0,80","-0,10","88,9%","0,20","-0,20",8,22
Смоленская область,"1,10","-0,20","84,6%","0,50","0,10",16,46
Тамбовская область,"0,80","-0,10","88,9%","0,20","-0,20",8,22
Тверская область,"0,80","-0,20","80,0%","0,20","-0,20",8,22
Тульская область,"0,60","-0,10","85,7%","0,00","-0,40",5,11
Ярославская область,"1,30","-0,20","86,7%","0,70","0,30",18,55
Южный федеральный округ,"0,70","-0,10","87,5%",,"-0,30",,2
Астраханская область,"1,20","-0,20","85,7%","0,50","0,20",7,51
Волгоградская область,"0,80","-0,20","80,0%","0,10","-0,20",4,22
г. Севастополь,"0,20","0,00","100,0%","-0,50","-0,80",1,1
Краснодарский край,"0,60","0,00","100,0%","-0,10","-0,40",2,11
Республика Адыгея (Адыгея),"1,10","-0,20","84,6%","0,40","0,10",6,46
Республика Калмыкия,"1,70","-0,10","94,4%","1,00","0,70",8,72
Республика Крым,"0,70","0,00","100,0%","0,00","-0,30",3,18
Ростовская область,"0,80","0,00","100,0%","0,10","-0,20",4,22
